"rt AT_USER before, bangtan's only wish is to win 1st place in a music show, but now they're receiving so much recognition all\u2026 ",negative,1.0
rt AT_USER you guys realize how spoiled we are right!? we literally waited 5 months after camila went solo to get her music. 5\u2026 ,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
np live: the jacksons - can you feel it (remix mix) - now @ URL nowplaying music,negative,1.0
rt AT_USER \u3010\u2728information\u2728\u3011\n9\u6708\u306e\u6765\u65e5\u516c\u6f14\u306e\u8a73\u7d30\u304c\u516c\u958b !!universal music japan URL,negative,1.0
"rt AT_USER may has been a great month for music, so far\ud83c\udfb6 URL URL",positive,1.0
nowplaying godandapos;s grace - trin-i-tee 5-7 URL nowplaying urban gospel music praise 23:03,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER \u5fd8\u308c\u3089\u3093\u306d\u3048\u3088\u3001\u3044\u3044\u4eba\u6b62\u307e\u308a\u3067\u30bf\u30a4\u30c8\u30eb\u5909\u66f4 URL,negative,1.0
nowplaying luthervandross - idratherliveatradiocit on music massage @ URL slowjams quietstorm radio,positive,1.0
rt AT_USER think i'm turning the music up and fuck around and fuck up my transmission URL,negative,1.0
rt AT_USER ripped some hearts out and talked music with AT_USER \ud83e\udd40 check it out URL URL,negative,1.0
music: vector ft. korede bello \u2013\u00a0seaside URL URL,negative,1.0
nowplaying godandapos;s grace - trin-i-tee 5-7 URL nowplaying urban gospel music praise 23:03,negative,1.0
i'm never gonna see the music video because spotify is such shit it takes 10 hours just to load,negative,1.0
fim de mais um dia de trabalho com as ben\u00e7\u00e3os de deus! mixonlinestudio protools music jbl\u2026 URL,negative,1.0
